# 2026년 8주차 CMP 인프라 정기점검 보고서
# 생성일시: 2026-02-20 17:21:49
# 회사: CMP 인프라
# 담당팀: 클라우드서비스팀
# 총 점검항목: 95
# 정상: 82 / 경고: 2 / 위험: 11 / 확인불가: 0

점검ID,점검항목,카테고리,환경,점검대상,설명,상태,측정값,임계치,결과메시지,중요도,점검시간
CICD-repo-Repository,Repository 서비스,CI/CD,CI/CD 인프라,Repo 서버,Repo 서버 Repository 서비스 상태,위험,연결 실패,-,서비스 응답 없음,critical,2026-02-20T17:20:14.438265
CICD-nexus-Nexus_Web,Nexus Web 서비스,CI/CD,CI/CD 인프라,Nexus 서버,Nexus 서버 Nexus Web 서비스 상태,위험,연결 실패,-,서비스 응답 없음,critical,2026-02-20T17:20:29.454161
CICD-jenkins_primary-Jenkins,Jenkins 서비스,CI/CD,CI/CD 인프라,Jenkins #1 (Primary),Jenkins #1 (Primary) Jenkins 서비스 상태,위험,연결 실패,-,서비스 응답 없음,critical,2026-02-20T17:20:44.470001
CICD-jenkins_secondary-Jenkins,Jenkins 서비스,CI/CD,CI/CD 인프라,Jenkins #2 (Backup),Jenkins #2 (Backup) Jenkins 서비스 상태,위험,연결 실패,-,서비스 응답 없음,critical,2026-02-20T17:20:59.485786
CICD-gitlab_primary-GitLab,GitLab 서비스,CI/CD,CI/CD 인프라,GitLab #1,GitLab #1 GitLab 서비스 상태,위험,연결 실패,-,서비스 응답 없음,critical,2026-02-20T17:21:14.496150
CICD-gitlab_secondary-GitLab,GitLab 서비스,CI/CD,CI/CD 인프라,GitLab #2,GitLab #2 GitLab 서비스 상태,위험,연결 실패,-,서비스 응답 없음,critical,2026-02-20T17:21:29.512072
SSL-001-google.com,google.com SSL,SSL,인증서,google.com,주요 도메인의 인증서 만료일자 확인,경고,Apr 20 08:39:19 2026 GMT,-,갱신 필요 (58일 남음),high,2026-02-20T17:21:29.696081
SSL-001-example.com,example.com SSL,SSL,인증서,example.com,주요 도메인의 인증서 만료일자 확인,정상,May 14 18:57:50 2026 GMT,-,정상 (83일 남음),high,2026-02-20T17:21:29.778364
OS-001,디스크 사용량,GPU Master,GPU,Master #1,루트 파일시스템 디스크 사용률 확인,정상,42,80%,정상 범위,high,2026-02-20T17:21:30.210860
OS-002,메모리 사용량,GPU Master,GPU,Master #1,시스템 메모리 사용률 확인,정상,26.3,85%,정상 범위,high,2026-02-20T17:21:30.435177
OS-003,CPU 사용량,GPU Master,GPU,Master #1,CPU 평균 사용률 확인,정상,2,90%,정상 범위,high,2026-02-20T17:21:30.838353
OS-004,시스템 업타임,GPU Master,GPU,Master #1,시스템 가동 시간 확인,정상,"up 4 weeks, 4 days, 6 hours, 13 minutes",-,정보 수집 완료,info,2026-02-20T17:21:31.073061
OS-005,좀비 프로세스,GPU Master,GPU,Master #1,좀비 프로세스 개수 확인,정상,0,-,정상,medium,2026-02-20T17:21:31.315969
OS-006,로드 애버리지,GPU Master,GPU,Master #1,1분 평균 로드 확인,정상,0.98,8.0,정상 범위,medium,2026-02-20T17:21:31.539463
OS-007,열린 파일 수,GPU Master,GPU,Master #1,시스템 전체 열린 파일 디스크립터 수,정상,2720,100000개,정상 범위,low,2026-02-20T17:21:31.767353
OS-008,네트워크 연결,GPU Master,GPU,Master #1,ESTABLISHED 상태 TCP 연결 수,정상,1167,2000개,정상 범위,low,2026-02-20T17:21:32.040925
OS-009,커널 버전,GPU Master,GPU,Master #1,현재 커널 버전 정보,정상,5.14.0-611.16.1.el9_7.x86_64,-,정보 수집 완료,info,2026-02-20T17:21:32.267367
OS-001,디스크 사용량,GPU Master,GPU,Master #2,루트 파일시스템 디스크 사용률 확인,정상,43,80%,정상 범위,high,2026-02-20T17:21:32.662620
OS-002,메모리 사용량,GPU Master,GPU,Master #2,시스템 메모리 사용률 확인,정상,26.3,85%,정상 범위,high,2026-02-20T17:21:32.888172
OS-003,CPU 사용량,GPU Master,GPU,Master #2,CPU 평균 사용률 확인,정상,2,90%,정상 범위,high,2026-02-20T17:21:33.293322
OS-004,시스템 업타임,GPU Master,GPU,Master #2,시스템 가동 시간 확인,정상,"up 4 weeks, 4 days, 6 hours, 46 minutes",-,정보 수집 완료,info,2026-02-20T17:21:33.515779
OS-005,좀비 프로세스,GPU Master,GPU,Master #2,좀비 프로세스 개수 확인,정상,0,-,정상,medium,2026-02-20T17:21:33.739085
OS-006,로드 애버리지,GPU Master,GPU,Master #2,1분 평균 로드 확인,정상,0.44,8.0,정상 범위,medium,2026-02-20T17:21:33.946485
OS-007,열린 파일 수,GPU Master,GPU,Master #2,시스템 전체 열린 파일 디스크립터 수,정상,2752,100000개,정상 범위,low,2026-02-20T17:21:34.163857
OS-008,네트워크 연결,GPU Master,GPU,Master #2,ESTABLISHED 상태 TCP 연결 수,정상,1176,2000개,정상 범위,low,2026-02-20T17:21:34.442505
OS-009,커널 버전,GPU Master,GPU,Master #2,현재 커널 버전 정보,정상,5.14.0-611.16.1.el9_7.x86_64,-,정보 수집 완료,info,2026-02-20T17:21:34.666996
OS-001,디스크 사용량,GPU Master,GPU,Master #3,루트 파일시스템 디스크 사용률 확인,정상,46,80%,정상 범위,high,2026-02-20T17:21:35.080709
OS-002,메모리 사용량,GPU Master,GPU,Master #3,시스템 메모리 사용률 확인,정상,24.5,85%,정상 범위,high,2026-02-20T17:21:35.314851
OS-003,CPU 사용량,GPU Master,GPU,Master #3,CPU 평균 사용률 확인,정상,2,90%,정상 범위,high,2026-02-20T17:21:35.723952
OS-004,시스템 업타임,GPU Master,GPU,Master #3,시스템 가동 시간 확인,정상,"up 4 weeks, 4 days, 6 hours, 26 minutes",-,정보 수집 완료,info,2026-02-20T17:21:35.952217
OS-005,좀비 프로세스,GPU Master,GPU,Master #3,좀비 프로세스 개수 확인,정상,0,-,정상,medium,2026-02-20T17:21:36.201151
OS-006,로드 애버리지,GPU Master,GPU,Master #3,1분 평균 로드 확인,정상,0.20,8.0,정상 범위,medium,2026-02-20T17:21:36.429230
OS-007,열린 파일 수,GPU Master,GPU,Master #3,시스템 전체 열린 파일 디스크립터 수,정상,2624,100000개,정상 범위,low,2026-02-20T17:21:36.665079
OS-008,네트워크 연결,GPU Master,GPU,Master #3,ESTABLISHED 상태 TCP 연결 수,정상,1162,2000개,정상 범위,low,2026-02-20T17:21:36.961395
OS-009,커널 버전,GPU Master,GPU,Master #3,현재 커널 버전 정보,정상,5.14.0-611.16.1.el9_7.x86_64,-,정보 수집 완료,info,2026-02-20T17:21:37.188240
OS-001,디스크 사용량,GPU Worker,GPU,Worker #1,루트 파일시스템 디스크 사용률 확인,정상,53,80%,정상 범위,high,2026-02-20T17:21:37.538111
OS-002,메모리 사용량,GPU Worker,GPU,Worker #1,시스템 메모리 사용률 확인,정상,20.9,85%,정상 범위,high,2026-02-20T17:21:37.885508
