# 2026년 9주차 CMP 인프라 정기점검 보고서
# 생성일시: 2026-02-25 09:51:56
# 회사: CMP 인프라
# 담당팀: 클라우드서비스팀
# 총 점검항목: 98
# 정상: 80 / 경고: 3 / 위험: 14 / 확인불가: 1

점검ID,점검항목,카테고리,환경,점검대상,설명,상태,측정값,임계치,결과메시지,중요도,점검시간
CICD-repo-Repository,Repository 서비스,CI/CD,CI/CD 인프라,Repo 서버,Repo 서버 Repository 서비스 상태,정상,TCP 80 Open,-,포트 응답 정상,critical,2026-02-25T09:50:58.664113
CICD-nexus-Nexus_Web,Nexus Web 서비스,CI/CD,CI/CD 인프라,Nexus 서버,Nexus 서버 Nexus Web 서비스 상태,정상,200 OK,-,서비스 정상 응답,critical,2026-02-25T09:50:58.669443
CICD-jenkins_primary-Jenkins,Jenkins 서비스,CI/CD,CI/CD 인프라,Jenkins #1 (Primary),Jenkins #1 (Primary) Jenkins 서비스 상태,정상,200 OK,-,서비스 정상 응답,critical,2026-02-25T09:50:58.678474
CICD-jenkins_secondary-Jenkins,Jenkins 서비스,CI/CD,CI/CD 인프라,Jenkins #2 (Backup),Jenkins #2 (Backup) Jenkins 서비스 상태,정상,200 OK,-,서비스 정상 응답,critical,2026-02-25T09:50:58.703548
CICD-gitlab_primary-GitLab,GitLab 서비스,CI/CD,CI/CD 인프라,GitLab #1,GitLab #1 GitLab 서비스 상태,정상,200 OK,-,서비스 정상 응답,critical,2026-02-25T09:50:58.772820
CICD-gitlab_secondary-GitLab,GitLab 서비스,CI/CD,CI/CD 인프라,GitLab #2,GitLab #2 GitLab 서비스 상태,정상,200 OK,-,서비스 정상 응답,critical,2026-02-25T09:50:58.882070
SSL-001-example.com,example.com SSL,SSL,인증서,example.com,주요 도메인의 인증서 만료일자 확인,확인불가,N/A,-,연결 실패,high,2026-02-25T09:51:28.912657
OS-001,디스크 사용량,STG Master,STG,Master #1,루트 파일시스템 디스크 사용률 확인,정상,12,80%,정상 범위,high,2026-02-25T09:51:29.438998
OS-002,메모리 사용량,STG Master,STG,Master #1,시스템 메모리 사용률 확인,경고,82.2,85%,임계치 근접 (82.2% / 85.0%),high,2026-02-25T09:51:29.670019
OS-003,CPU 사용량,STG Master,STG,Master #1,CPU 평균 사용률 확인,정상,34,90%,정상 범위,high,2026-02-25T09:51:30.071876
OS-004,시스템 업타임,STG Master,STG,Master #1,시스템 가동 시간 확인,정상,"up 2 weeks, 6 days, 19 hours, 20 minutes",-,정보 수집 완료,info,2026-02-25T09:51:30.300196
OS-005,좀비 프로세스,STG Master,STG,Master #1,좀비 프로세스 개수 확인,정상,0,-,정상,medium,2026-02-25T09:51:30.561066
OS-006,로드 애버리지,STG Master,STG,Master #1,1분 평균 로드 확인,정상,0.30,8.0,정상 범위,medium,2026-02-25T09:51:30.780534
OS-007,열린 파일 수,STG Master,STG,Master #1,시스템 전체 열린 파일 디스크립터 수,정상,3936,100000개,정상 범위,low,2026-02-25T09:51:31.005906
OS-008,네트워크 연결,STG Master,STG,Master #1,ESTABLISHED 상태 TCP 연결 수,정상,557,2000개,정상 범위,low,2026-02-25T09:51:31.244578
OS-009,커널 버전,STG Master,STG,Master #1,현재 커널 버전 정보,정상,5.14.0-570.17.1.el9_6.x86_64,-,정보 수집 완료,info,2026-02-25T09:51:31.469260
OS-001,디스크 사용량,STG Master,STG,Master #2,루트 파일시스템 디스크 사용률 확인,정상,12,80%,정상 범위,high,2026-02-25T09:51:31.920094
OS-002,메모리 사용량,STG Master,STG,Master #2,시스템 메모리 사용률 확인,경고,83.5,85%,임계치 근접 (83.5% / 85.0%),high,2026-02-25T09:51:32.139232
OS-003,CPU 사용량,STG Master,STG,Master #2,CPU 평균 사용률 확인,정상,18,90%,정상 범위,high,2026-02-25T09:51:32.536471
OS-004,시스템 업타임,STG Master,STG,Master #2,시스템 가동 시간 확인,정상,"up 2 weeks, 6 days, 19 hours, 20 minutes",-,정보 수집 완료,info,2026-02-25T09:51:32.751605
OS-005,좀비 프로세스,STG Master,STG,Master #2,좀비 프로세스 개수 확인,정상,0,-,정상,medium,2026-02-25T09:51:33.007496
OS-006,로드 애버리지,STG Master,STG,Master #2,1분 평균 로드 확인,정상,0.05,8.0,정상 범위,medium,2026-02-25T09:51:33.214392
OS-007,열린 파일 수,STG Master,STG,Master #2,시스템 전체 열린 파일 디스크립터 수,정상,3872,100000개,정상 범위,low,2026-02-25T09:51:33.419685
OS-008,네트워크 연결,STG Master,STG,Master #2,ESTABLISHED 상태 TCP 연결 수,정상,583,2000개,정상 범위,low,2026-02-25T09:51:33.644379
