# 2025년 49주차 CMP 인프라 정기점검 보고서
# 생성일시: 2025-12-04 07:46:19
# 회사: CMP 인프라
# 담당팀: 플랫폼팀
# 총 점검항목: 255
# 정상: 255 / 경고: 0 / 위험: 0 / 확인불가: 0

점검ID,점검항목,카테고리,환경,점검대상,설명,상태,측정값,임계치,결과메시지,중요도,점검시간
CICD-REP,Repository 서비스,CI/CD,CI/CD 인프라,Repo 서버,Repo 서버 Repository 서비스 상태,정상,200 OK,-,서비스 정상 응답,critical,2025-12-04T07:46:19.337615
CICD-NEX,Nexus Web 서비스,CI/CD,CI/CD 인프라,Nexus 서버,Nexus 서버 Nexus Web 서비스 상태,정상,200 OK,-,서비스 정상 응답,critical,2025-12-04T07:46:19.337634
CICD-NEX,Docker Registry 서비스,CI/CD,CI/CD 인프라,Nexus 서버,Nexus 서버 Docker Registry 서비스 상태,정상,200 OK,-,서비스 정상 응답,critical,2025-12-04T07:46:19.337639
CICD-JEN,Jenkins 서비스,CI/CD,CI/CD 인프라,Jenkins #1 (Primary),Jenkins #1 (Primary) Jenkins 서비스 상태,정상,200 OK,-,서비스 정상 응답,critical,2025-12-04T07:46:19.337644
CICD-JEN,Jenkins 서비스,CI/CD,CI/CD 인프라,Jenkins #2 (Backup),Jenkins #2 (Backup) Jenkins 서비스 상태,정상,200 OK,-,서비스 정상 응답,critical,2025-12-04T07:46:19.337654
CICD-JEN,Jenkins 서비스,CI/CD,CI/CD 인프라,(구)Jenkins,(구)Jenkins Jenkins 서비스 상태,정상,200 OK,-,서비스 정상 응답,critical,2025-12-04T07:46:19.337659
CICD-GIT,GitLab 서비스,CI/CD,CI/CD 인프라,GitLab #1,GitLab #1 GitLab 서비스 상태,정상,200 OK,-,서비스 정상 응답,critical,2025-12-04T07:46:19.337664
CICD-GIT,GitLab 서비스,CI/CD,CI/CD 인프라,GitLab #2,GitLab #2 GitLab 서비스 상태,정상,200 OK,-,서비스 정상 응답,critical,2025-12-04T07:46:19.337669
CICD-GIT,GitLab 서비스,CI/CD,CI/CD 인프라,(구)GitLab,(구)GitLab GitLab 서비스 상태,정상,200 OK,-,서비스 정상 응답,critical,2025-12-04T07:46:19.337674
OS-001,디스크 사용량,DEV Master,DEV,Master #1,루트 파일시스템 디스크 사용률 확인,정상,45,80%,정상 범위,high,2025-12-04T07:46:19.337706
OS-002,메모리 사용량,DEV Master,DEV,Master #1,시스템 메모리 사용률 확인,정상,62.5,85%,정상 범위,high,2025-12-04T07:46:19.337712
OS-003,CPU 사용량,DEV Master,DEV,Master #1,CPU 평균 사용률 확인,정상,23,90%,정상 범위,high,2025-12-04T07:46:19.337718
OS-004,시스템 업타임,DEV Master,DEV,Master #1,시스템 가동 시간 확인,정상,"up 15 days, 4 hours",-,정상 가동 중,info,2025-12-04T07:46:19.337723
OS-005,좀비 프로세스,DEV Master,DEV,Master #1,좀비 프로세스 개수 확인,정상,0,-,좀비 프로세스 없음,medium,2025-12-04T07:46:19.337728
OS-006,로드 애버리지,DEV Master,DEV,Master #1,1분 평균 로드 확인,정상,1.25,8.0,정상 범위,medium,2025-12-04T07:46:19.337733
OS-007,Swap 사용량,DEV Master,DEV,Master #1,Swap 메모리 사용률 확인,정상,12.3,50%,정상 범위,medium,2025-12-04T07:46:19.337738
OS-008,열린 파일 수,DEV Master,DEV,Master #1,시스템 전체 열린 파일 디스크립터 수,정상,3456,100000개,정상 범위,low,2025-12-04T07:46:19.337747
OS-009,네트워크 연결,DEV Master,DEV,Master #1,ESTABLISHED 상태 TCP 연결 수,정상,128,2000개,정상 범위,low,2025-12-04T07:46:19.337753
OS-010,커널 버전,DEV Master,DEV,Master #1,현재 커널 버전 정보,정상,5.15.0-91-generic,-,커널 정보 확인,info,2025-12-04T07:46:19.337757
OS-001,디스크 사용량,DEV Master,DEV,Master #2,루트 파일시스템 디스크 사용률 확인,정상,45,80%,정상 범위,high,2025-12-04T07:46:19.337763
OS-002,메모리 사용량,DEV Master,DEV,Master #2,시스템 메모리 사용률 확인,정상,62.5,85%,정상 범위,high,2025-12-04T07:46:19.337767
OS-003,CPU 사용량,DEV Master,DEV,Master #2,CPU 평균 사용률 확인,정상,23,90%,정상 범위,high,2025-12-04T07:46:19.337771
OS-004,시스템 업타임,DEV Master,DEV,Master #2,시스템 가동 시간 확인,정상,"up 15 days, 4 hours",-,정상 가동 중,info,2025-12-04T07:46:19.337775
OS-005,좀비 프로세스,DEV Master,DEV,Master #2,좀비 프로세스 개수 확인,정상,0,-,좀비 프로세스 없음,medium,2025-12-04T07:46:19.337783
